fullname,number,position,height,weight,age,years pro,school
Davis Allen,87,TE,6-6,245,22,R,Clemson
Tremayne Anchrum Jr.,72,OL,6-2,314,25,4,Clemson
Tutu Atwell,5,WR,5-9,165,23,3,Louisville
Steve Avila,73,OL,6-3,332,23,R,TCU
Bobby Brown III,95,NT,6-4,324,23,3,Texas A&M
Earnest Brown IV,90,DE,6-5,270,24,1,Northwestern
Aaron Donald,99,DT,6-1,280,32,10,Pittsburgh
Kevin Dotson,69,OL,6-4,321,27,4,Louisiana-Lafayette
Cobie Durant,14,DB,5-11,180,25,2,South Carolina State
Ethan Evans,42,P,6-3,231,22,R,Wingate
Zach Evans,21,RB,5-11,202,22,R,Mississippi
Jordan Fuller,4,DB,6-2,203,25,4,Ohio State
Nick Hampton,31,OLB,6-3,235,23,R,Appalachian State
Rob Havenstein,79,OL,6-8,330,31,9,Wisconsin
Tyler Higbee,89,TE,6-6,255,30,8,Western Kentucky
Michael Hoecht,97,OLB,6-4,310,25,3,Brown
Brycen Hopkins,88,TE,6-4,245,26,4,Purdue
Jacob Hummel,35,LB,6-1,235,24,2,Iowa State
Alaric Jackson,77,OL,6-7,285,25,3,Iowa
Van Jefferson,12,WR,6-1,200,27,4,Florida
Desjuan Johnson,94,DE,6-3,252,24,R,Toledo
John Johnson III,43,DB,6-0,209,27,7,Boston College
Ernest Jones IV,53,LB,6-2,230,23,3,South Carolina
Derion Kendrick,1,DB,6-0,190,23,2,Georgia
Quentin Lake,37,DB,6-1,201,24,2,UCLA
Brett Maher,8,K,6-0,180,33,6,Nebraska
Warren McClendon Jr.,71,OL,6-4,300,22,R,Georgia
Larrell Murchison,52,DT,6-2,297,26,4,N.C. State
Puka Nacua,17,WR,6-2,205,22,R,BYU
Joe Noteboom,70,OL,6-5,321,28,6,TCU
Troy Reeder,59,ILB,6-3,245,29,5,Delaware
Ronnie Rivers,20,RB,5-9,195,24,2,Fresno State
Demarcus Robinson,15,WR,6-1,203,29,8,Florida
Christian Rozeboom,56,LB,6-2,230,26,3,South Dakota State
Brett Rypien,11,QB,6-2,202,27,4,Boise State
Duke Shelley,26,DB,5-8,183,26,5,Kansas State
Coleman Shelton,65,OL,6-4,299,28,5,Washington
Ben Skowronek,18,WR,6-3,224,26,3,Notre Dame
Matthew Stafford,9,QB,6-3,220,35,15,Georgia
Zach Thomas,57,OL,6-5,300,25,2,San Diego State
Tre Tomlinson,6,DB,5-9,180,23,R,TCU
Kobie Turner,91,NT,6-2,288,24,R,Wake Forest
Zach VanValkenburg,51,OLB,6-4,263,25,1,Iowa
Alex Ward,47,LS,6-4,240,24,R,UCF
Jonah Williams,92,DE,6-5,275,28,3,Weber State
Kyren Williams,23,RB,5-9,194,23,2,Notre Dame
Ahkello Witherspoon,44,DB,6-2,195,28,7,Colorado
Russ Yeast,2,DB,5-10,195,24,2,Kansas State
Byron Young,0,OLB,6-2,250,25,R,Tennessee
Stetson Bennett,13,QB,5-11,190,25,R,Georgia
Cooper Kupp,10,WR,6-2,208,30,7,Eastern Washington
Hunter Long,84,TE,6-5,253,25,3,Boston College
Ochaun Mathis,32,OLB,6-5,260,24,R,Nebraska
Jason Taylor II,25,DB,6-0,204,23,R,Oklahoma State
AJ Arcuri,61,OL,6-7,320,26,2,Michigan State
Logan Bruss,60,OL,6-5,309,24,2,Wisconsin
Marquise Copeland,93,DT,6-2,287,26,3,Cincinnati